;Cadmium Telluride
;X-Ray Mass Attenuation Coefficients
;source: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/telluride.html
;density = 6.20 [g/cm^3]
;Energy[MeV], mu/rho [cm2/g], mu_en/rho [cm2/g]
1.000000000000000021e-03,7.927000000000000000e+03,7.913000000000000000e+03
1.002999999999999985e-03,7.875000000000000000e+03,7.862000000000000000e+03
1.005999999999999950e-03,7.824000000000000000e+03,7.811000000000000000e+03
1.005999999999999950e-03,8.014000000000000000e+03,8.001000000000000000e+03
1.500000000000000031e-03,3.291000000000000000e+03,3.281000000000000000e+03
2.000000000000000042e-03,1.664000000000000000e+03,1.656000000000000000e+03
3.000000000000000062e-03,6.146000000000000227e+02,6.082000000000000455e+02
3.537499999999999846e-03,4.063999999999999773e+02,4.003999999999999773e+02
3.537499999999999846e-03,7.787000000000000455e+02,7.525000000000000000e+02
3.631010000000000053e-03,7.300000000000000000e+02,7.056000000000000227e+02
3.726999999999999844e-03,6.840000000000000000e+02,6.612999999999999545e+02
3.726999999999999844e-03,8.601000000000000227e+02,8.266000000000000227e+02
4.000000000000000083e-03,7.230000000000000000e+02,6.957000000000000455e+02
4.017999999999999870e-03,7.151000000000000227e+02,6.881000000000000227e+02
4.017999999999999870e-03,7.933999999999999773e+02,7.623999999999999773e+02
4.176570000000000109e-03,7.221000000000000227e+02,6.943999999999999773e+02
4.341399999999999600e-03,6.562000000000000455e+02,6.312999999999999545e+02
4.341399999999999600e-03,9.327999999999999545e+02,8.882999999999999545e+02
4.474650000000000155e-03,8.738999999999999773e+02,8.327999999999999545e+02
4.611999999999999780e-03,8.135000000000000000e+02,7.758999999999999773e+02
4.611999999999999780e-03,9.437999999999999545e+02,8.955000000000000000e+02
4.772799999999999786e-03,8.702000000000000455e+02,8.265000000000000000e+02
4.939200000000000361e-03,7.998999999999999773e+02,7.606000000000000227e+02
4.939200000000000361e-03,8.652999999999999545e+02,8.213999999999999773e+02
5.000000000000000104e-03,8.392000000000000455e+02,7.970000000000000000e+02
6.000000000000000125e-03,5.286000000000000227e+02,5.046000000000000227e+02
8.000000000000000167e-03,2.491999999999999886e+02,2.389000000000000057e+02
1.000000000000000021e-02,1.380999999999999943e+02,1.321999999999999886e+02
1.499999999999999944e-02,4.657000000000000028e+01,4.403999999999999915e+01
2.000000000000000042e-02,2.144000000000000128e+01,1.987999999999999901e+01
2.671120000000000091e-02,9.833999999999999631e+00,8.833000000000000185e+00
2.671120000000000091e-02,2.942999999999999972e+01,1.367999999999999972e+01
2.999999999999999889e-02,2.182000000000000028e+01,1.118999999999999950e+01
3.181379999999999625e-02,1.873000000000000043e+01,1.000999999999999979e+01
3.181379999999999625e-02,3.492000000000000171e+01,1.350999999999999979e+01
4.000000000000000083e-02,1.930000000000000071e+01,9.634999999999999787e+00
5.000000000000000278e-02,1.066999999999999993e+01,6.229000000000000092e+00
5.999999999999999778e-02,6.542000000000000703e+00,4.163000000000000256e+00
8.000000000000000167e-02,3.018999999999999684e+00,2.083000000000000185e+00
1.000000000000000056e-01,1.671000000000000041e+00,1.181000000000000050e+00
1.499999999999999944e-01,6.070999999999999730e-01,4.101000000000000201e-01
2.000000000000000111e-01,3.245999999999999996e-01,1.981999999999999873e-01
2.999999999999999889e-01,1.628000000000000003e-01,8.143999999999999850e-02
4.000000000000000222e-01,1.146999999999999964e-01,5.108999999999999653e-02
5.000000000000000000e-01,9.291000000000000647e-02,3.951999999999999957e-02
5.999999999999999778e-01,8.042000000000000537e-02,3.391000000000000264e-02
8.000000000000000444e-01,6.600000000000000311e-02,2.852000000000000021e-02
1.000000000000000000e+00,5.742000000000000576e-02,2.574999999999999858e-02
1.250000000000000000e+00,5.043000000000000260e-02,2.354000000000000190e-02
1.500000000000000000e+00,4.590999999999999942e-02,2.209000000000000200e-02
2.000000000000000000e+00,4.070000000000000007e-02,2.061999999999999944e-02
3.000000000000000000e+00,3.648999999999999466e-02,2.020999999999999880e-02
4.000000000000000000e+00,3.524999999999999661e-02,2.090999999999999803e-02
5.000000000000000000e+00,3.513000000000000150e-02,2.188000000000000014e-02
6.000000000000000000e+00,3.548000000000000459e-02,2.285999999999999838e-02
8.000000000000000000e+00,3.687000000000000000e-02,2.468000000000000055e-02
1.000000000000000000e+01,3.857000000000000012e-02,2.618000000000000188e-02
1.500000000000000000e+01,4.273000000000000409e-02,2.866999999999999757e-02
2.000000000000000000e+01,4.615999999999999964e-02,2.983000000000000235e-02
